date,genre,label,value
2014-01-01,Pop / Rock,PRMD,1
2014-01-01,Tech House,Off Recordings,1
2014-01-01,Tech House,Santos Music,1
2014-01-01,Tech House,Formatik,1
2014-01-01,Tech House,Crosstown Rebels,1
2014-01-01,Tech House,Suara,2
2014-01-01,Tech House,Hollister Records,1
2014-01-01,Tech House,Toolroom Records,1
2014-01-01,Tech House,Pets Recordings,1
2014-01-01,Tech House,Terminal M,1
2014-01-01,House,Cr2 Records,1
2014-01-01,House,Starside Records,1
2014-01-01,House,PPMUSIC,1
2014-01-01,House,Hot Creations,1
2014-01-01,House,Lovenest Records,1
2014-01-01,House,X,1
2014-01-01,House,Sound Division,1
2014-01-01,House,KMS Records,1
2014-01-01,House,LoudBit,1
2014-01-01,House,Samui Recordings,1
2014-01-01,House,PornoStar Records,2
2014-01-01,House,Casa Rossa,1
2014-01-01,House,TeddyBear Records,1
2014-01-01,House,Cube Recordings,1
2014-01-01,DJ Tools,Fly House Records,1
2014-01-01,Electro House,LE7ELS,1
2014-01-01,Electro House,Hysteria Recs,1
2014-01-01,Electro House,Spinnin Records,8
2014-01-01,Electro House,So Much Dada,1
2014-01-01,Electro House,DOORN (Spinnin),4
2014-01-01,Electro House,PRMD,1
2014-01-01,Electro House,Lovenest Records,1
2014-01-01,Electro House,SmallDog Records,1
2014-01-01,Electro House,SPRS,2
2014-01-01,Electro House,Dim Mak Records,1
2014-01-01,Electro House,Showland,1
2014-01-01,Electro House,Skink,1
2014-01-01,Electro House,Ultra,1
2014-01-01,Electro House,Rising Music,1
2014-01-01,Techno,Suara,1
2014-01-01,Techno,DECIDE,1
2014-01-01,Techno,Drumcode,3
2014-01-01,Deep House,Defected,1
2014-01-01,Deep House,PRMD,1
2014-01-01,Deep House,Objektivity,1
2014-01-01,Deep House,Toolroom Records,1
2014-01-01,Deep House,Ellum Audio,1
2014-01-01,Deep House,Off Recordings,1
2014-01-01,Deep House,Life And Death,2
2014-01-01,Deep House,Big Beat/Atlantic Records/Ninja Tune,1
2014-01-01,Deep House,Spinnin Deep (Spinnin),1
2014-01-01,Deep House,Kraftek,1
2014-01-01,Deep House,Sound Division,1
2014-01-01,Deep House,Enormous Tunes,1
2014-01-01,Deep House,Aus Music,2
2014-01-01,Deep House,Musical Freedom,1
2014-01-01,Deep House,Hotflush Recordings,1
2014-01-01,Deep House,Circus Recordings,1
2014-01-01,Deep House,Kittball,1
2014-01-01,Indie Dance / Nu Disco,LouLou Records,1
2014-01-01,Indie Dance / Nu Disco,Milk & Sugar,1
2014-01-01,Indie Dance / Nu Disco,Electronique NU,1
2014-01-01,Indie Dance / Nu Disco,Chilli Mint Digital,1
2014-01-01,Indie Dance / Nu Disco,Sleazy G,2
2014-01-01,Indie Dance / Nu Disco,D.O.C.,1
2014-01-01,Indie Dance / Nu Disco,Erase Records,1
2014-01-01,Progressive House,PRMD,3
2014-01-01,Progressive House,Skint Records,1
2014-01-01,Progressive House,DOORN (Spinnin),1
2014-01-01,Progressive House,Protocol Recordings,2
2014-01-01,Progressive House,Spinnin Records,4
2014-01-01,Progressive House,Flamingo Recordings,1
2014-01-01,Progressive House,Revealed Recordings,4
2014-01-01,Progressive House,Columbia (Sony),1
2014-01-01,Progressive House,Pryda Recordings,1
2014-01-01,Progressive House,Musical Freedom,2
2014-01-01,Progressive House,Size Records,1
2014-02-01,Tech House,100% Pure,1
2014-02-01,Tech House,Basica Recordings,1
2014-02-01,Tech House,Santos Music,1
2014-02-01,Tech House,Formatik,1
2014-02-01,Tech House,Desolat,1
2014-02-01,Tech House,Suara,3
2014-02-01,Tech House,Vudu Records,1
2014-02-01,Tech House,Pets Recordings,1
2014-02-01,House,PPMUSIC,1
2014-02-01,House,Hot Creations,1
2014-02-01,House,Zulu Records,1
2014-02-01,House,Bootylicious,1
2014-02-01,House,SPRS,2
2014-02-01,House,LoudBit,2
2014-02-01,House,PornoStar Records,1
2014-02-01,House,Samui Recordings,1
2014-02-01,House,Casa Rossa,1
2014-02-01,House,Hotfingers,3
2014-02-01,Electro House,Hysteria Recs,1
2014-02-01,Electro House,Spinnin Records,8
2014-02-01,Electro House,Wall Recordings,2
2014-02-01,Electro House,Jack Back Records,1
2014-02-01,Electro House,PRMD,1
2014-02-01,Electro House,Hussle Recordings,1
2014-02-01,Electro House,SPRS,2
2014-02-01,Electro House,Dim Mak Records,1
2014-02-01,Electro House,Revealed Recordings,1
2014-02-01,Electro House,Juicy Music,1
2014-02-01,Electro House,OWSLA,2
2014-02-01,Electro House,Skink,1
2014-02-01,Electro House,Musical Freedom,2
2014-02-01,Electro House,DOORN (Spinnin),2
2014-02-01,Techno,Avotre,1
2014-02-01,Techno,Suara,1
2014-02-01,Techno,Drumcode,3
2014-02-01,Deep House,PRMD,1
2014-02-01,Deep House,Musical Freedom,1
2014-02-01,Deep House,Off Recordings,2
2014-02-01,Deep House,Aus Music,1
2014-02-01,Deep House,Enormous Tunes,2
2014-02-01,Deep House,Miniaturesrec,1
2014-02-01,Deep House,Lapsus Music,1
2014-02-01,Deep House,School Records,1
2014-02-01,Deep House,Spinnin Deep (Spinnin),1
2014-02-01,Deep House,Kraftek,1
2014-02-01,Deep House,Objektivity,1
2014-02-01,Deep House,Life And Death,1
2014-02-01,Deep House,Toolroom Records,1
2014-02-01,Deep House,Ultra,1
2014-02-01,Deep House,Hotflush Recordings,1
2014-02-01,Deep House,Circus Recordings,1
2014-02-01,Deep House,Kittball,1
2014-02-01,Indie Dance / Nu Disco,LouLou Records,1
2014-02-01,Indie Dance / Nu Disco,Enormous Tunes,1
2014-02-01,Indie Dance / Nu Disco,Electronique NU,1
2014-02-01,Indie Dance / Nu Disco,Erase Records,1
2014-02-01,Indie Dance / Nu Disco,Sleazy G,1
2014-02-01,Indie Dance / Nu Disco,Milk & Sugar,1
2014-02-01,Indie Dance / Nu Disco,Blas Boys Club (VER LTD),1
2014-02-01,Indie Dance / Nu Disco,D.O.C.,1
2014-02-01,Indie Dance / Nu Disco,Chilli Mint Digital,1
2014-02-01,Indie Dance / Nu Disco,Kittball,1
2014-02-01,Trance,Enhanced Progressive,1
2014-02-01,Trance,A State Of Trance,1
2014-02-01,Trance,Anjunabeats,1
2014-02-01,Progressive House,PRMD,1
2014-02-01,Progressive House,Skint Records,1
2014-02-01,Progressive House,Mixmash Records,1
2014-02-01,Progressive House,Protocol Recordings,1
2014-02-01,Progressive House,Spinnin Records,2
2014-02-01,Progressive House,Flamingo Recordings,1
2014-02-01,Progressive House,Revealed Recordings,3
2014-02-01,Progressive House,Big Beat Records,1
2014-02-01,Progressive House,Axtone Records,1
2014-02-01,Progressive House,Art & Music Recording,1
2014-02-01,Progressive House,Columbia (Sony),1
2014-02-01,Progressive House,Atlantic Records,1
2014-02-01,Progressive House,Musical Freedom,1
2014-02-01,Progressive House,Size Records,2
2014-02-01,Hip-Hop,PRMD,1
2014-02-01,Hip-Hop,SPRS,1
2014-03-01,Indie Dance / Nu Disco,LouLou Records,1
2014-03-01,Indie Dance / Nu Disco,Enormous Tunes,1
2014-03-01,Indie Dance / Nu Disco,Sleazy G,1
2014-03-01,Trance,Armind (Armada),1
2014-03-01,Trance,Anjunabeats,2
2014-03-01,Electro House,LE7ELS,1
2014-03-01,Electro House,PRMD,1
2014-03-01,Electro House,Spinnin Records,9
2014-03-01,Electro House,Musical Freedom,1
2014-03-01,Electro House,Mixmash Records,1
2014-03-01,Electro House,DOORN (Spinnin),2
2014-03-01,Electro House,Lollywood (17:44),1
2014-03-01,Electro House,Pop Rox Muzik,1
2014-03-01,Electro House,Dim Mak Records,2
2014-03-01,Electro House,Virus T Studio Records,1
2014-03-01,Electro House,Big Beat Records,1
2014-03-01,Electro House,Powerhouse Music,1
2014-03-01,Electro House,Skink,1
2014-03-01,Electro House,Ultra,2
2014-03-01,Electro House,Jack Back Records,1
2014-03-01,Techno,Life And Death,1
2014-03-01,Techno,Over,1
2014-03-01,Techno,Drumcode,1
2014-03-01,Techno,Gate Null Recordings,1
2014-03-01,Techno,Supernature,1
2014-03-01,Techno,Octopus Records,1
2014-03-01,Deep House,Material,1
2014-03-01,Deep House,PRMD,1
2014-03-01,Deep House,Musical Freedom,1
2014-03-01,Deep House,Z Records,1
2014-03-01,Deep House,Off Recordings,4
2014-03-01,Deep House,Suara,1
2014-03-01,Deep House,Enormous Tunes,1
2014-03-01,Deep House,Miniaturesrec,1
2014-03-01,Deep House,Lapsus Music,1
2014-03-01,Deep House,Spinnin Deep (Spinnin),1
2014-03-01,Deep House,Flamingo Recordings,1
2014-03-01,Deep House,Crosstown Rebels,1
2014-03-01,Deep House,Yellow Productions,1
2014-03-01,Deep House,Exploited,2
2014-03-01,Deep House,Stil Vor Talent,1
2014-03-01,Deep House,Hive Audio,1
2014-03-01,Deep House,Life And Death,2
2014-03-01,Deep House,Toolroom Records,1
2014-03-01,Deep House,Ultra,1
2014-03-01,Deep House,Innervisions,1
2014-03-01,Deep House,Kittball,1
